Municipality,Crime Category,2021,2022,2023,2024,2025,Total
Aurora,Other,267,247,231,257,1,1003
Aurora,Person,465,568,656,625,7,2321
Aurora,Property,1006,1065,1390,1463,5,4929
East Gwillimbury,Other,222,202,191,206,0,821
East Gwillimbury,Person,269,310,405,465,1,1450
East Gwillimbury,Property,626,594,881,870,3,2974
Georgina,Other,423,406,429,321,2,1581
Georgina,Person,694,817,1017,945,6,3479
Georgina,Property,1079,918,1065,1147,4,4213
King,Other,175,149,153,165,1,643
King,Person,217,256,299,320,4,1096
King,Property,575,609,651,666,3,2504
Markham,Other,1242,1320,1219,1134,6,4921
Markham,Person,1876,2295,2490,2339,29,9029
Markham,Property,5144,6259,7852,7036,25,26316
Newmarket,Other,599,552,641,599,2,2393
Newmarket,Person,1022,1137,1500,1490,7,5156
Newmarket,Property,1725,2182,2485,2562,4,8958
Richmond Hill,Other,666,745,776,781,2,2970
Richmond Hill,Person,1521,1901,2116,2096,15,7649
Richmond Hill,Property,3677,4351,5533,5296,20,18877
Vaughan,Other,1657,1790,1659,1530,7,6643
Vaughan,Person,2585,3152,3733,3596,24,13090
Vaughan,Property,7583,9551,11447,10598,46,39225
Whitchurch-Stouffville,Other,162,159,157,171,1,650
Whitchurch-Stouffville,Person,302,362,399,358,4,1425
Whitchurch-Stouffville,Property,717,731,868,696,3,3015
