Municipality,Occurrence Type,2021,2022,2023,2024,2025,Total
Aurora,Theft Under $5000,362,369,480,479,2,1692
Aurora,Fraud,247,290,350,371,2,1260
Aurora,Assaults,206,223,266,280,2,977
Aurora,Other Persons Crime,177,253,287,241,5,963
Aurora,Mischief,133,132,166,203,1,635
Aurora,Other Property Crime,81,52,81,141,0,355
Aurora,Theft of Motor Vehicle,53,93,118,85,0,349
Aurora,Impaired Operation,54,55,66,54,1,230
Aurora,Break and Enter - Residential,23,41,59,60,0,183
Aurora,Drug Violations,70,34,14,30,0,148
Aurora,Missing Person,27,27,41,39,0,134
Aurora,Other Criminal Code,26,23,27,37,0,113
Aurora,Break and Enter - Commercial,24,16,28,38,0,106
Aurora,Sexual Violations,21,22,31,26,0,100
Aurora,Public Morals,25,33,21,12,0,91
Aurora,Theft Over $5000,16,31,26,17,0,90
Aurora,Weapons Violations,9,29,19,25,0,82
Aurora,Provincial Offences,15,12,13,29,0,69
Aurora,Robbery,6,12,16,14,0,48
Aurora,Firearms Violations,5,7,10,9,0,31
Aurora,Cannabis Act,8,6,2,3,0,19
Aurora,Break and Enter - Other,5,2,2,6,0,15
Aurora,Arson,1,3,5,3,0,12
Aurora,Attempt Murder,2,2,1,1,0,6
Aurora,Homicide,0,2,1,0,0,3
East Gwillimbury,Theft Under $5000,240,221,423,271,1,1156
East Gwillimbury,Assaults,134,155,183,274,0,746
East Gwillimbury,Other Persons Crime,117,135,198,153,1,604
East Gwillimbury,Fraud,127,123,163,180,0,593
East Gwillimbury,Mischief,106,89,113,173,1,482
East Gwillimbury,Impaired Operation,79,70,57,71,0,277
East Gwillimbury,Other Property Crime,54,43,68,88,0,253
East Gwillimbury,Theft of Motor Vehicle,30,56,43,72,0,201
East Gwillimbury,Missing Person,36,39,43,34,0,152
East Gwillimbury,Drug Violations,33,39,34,16,0,122
East Gwillimbury,Break and Enter - Residential,33,24,35,22,1,115
East Gwillimbury,Other Criminal Code,17,15,21,37,0,90
East Gwillimbury,Theft Over $5000,20,25,24,20,0,89
East Gwillimbury,Break and Enter - Commercial,12,12,12,36,0,72
East Gwillimbury,Sexual Violations,12,15,14,27,0,68
East Gwillimbury,Provincial Offences,21,12,11,18,0,62
East Gwillimbury,Weapons Violations,10,19,15,14,0,58
East Gwillimbury,Robbery,4,4,9,9,0,26
East Gwillimbury,Cannabis Act,12,1,2,4,0,19
East Gwillimbury,Firearms Violations,4,3,4,6,0,17
East Gwillimbury,Public Morals,6,4,1,3,0,14
East Gwillimbury,Arson,4,1,0,8,0,13
East Gwillimbury,Break and Enter - Other,4,0,3,3,0,10
East Gwillimbury,Homicide,2,1,1,0,0,4
East Gwillimbury,Attempt Murder,0,0,0,2,0,2
Georgina,Assaults,350,384,507,507,2,1750
Georgina,Other Persons Crime,314,393,456,379,4,1546
Georgina,Theft Under $5000,422,300,386,399,0,1507
Georgina,Mischief,275,200,254,253,2,984
Georgina,Fraud,143,203,211,266,2,825
Georgina,Impaired Operation,119,105,130,67,0,421
Georgina,Drug Violations,113,91,66,57,0,327
Georgina,Other Property Crime,91,59,65,91,0,306
Georgina,Missing Person,39,64,78,73,0,254
Georgina,Break and Enter - Residential,53,63,49,44,0,209
Georgina,Other Criminal Code,51,34,68,55,0,208
Georgina,Theft of Motor Vehicle,39,41,60,56,0,196
Georgina,Provincial Offences,49,41,26,25,0,141
Georgina,Weapons Violations,24,41,43,25,1,134
Georgina,Sexual Violations,20,28,33,36,0,117
Georgina,Break and Enter - Commercial,27,24,17,16,0,84
Georgina,Theft Over $5000,21,25,18,19,0,83
Georgina,Robbery,7,10,18,18,0,53
Georgina,Firearms Violations,8,13,9,8,0,38
Georgina,Break and Enter - Other,8,6,4,5,0,23
Georgina,Public Morals,7,7,2,5,1,22
Georgina,Arson,8,3,5,3,0,19
Georgina,Cannabis Act,5,4,3,1,0,13
Georgina,Attempt Murder,2,1,3,4,0,10
Georgina,Homicide,1,1,0,1,0,3
King,Theft Under $5000,204,165,185,182,0,736
King,Other Persons Crime,113,121,133,145,1,513
King,Assaults,92,119,136,156,2,505
King,Theft of Motor Vehicle,81,156,129,75,1,442
King,Mischief,94,93,115,122,0,424
King,Fraud,87,97,96,122,1,403
King,Impaired Operation,77,73,63,74,0,287
King,Break and Enter - Residential,39,39,45,63,1,187
King,Other Property Crime,24,21,33,38,0,116
King,Theft Over $5000,22,18,26,34,0,100
King,Drug Violations,41,11,23,21,0,96
King,Other Criminal Code,20,16,21,29,0,86
King,Break and Enter - Commercial,20,19,15,24,0,78
King,Missing Person,18,21,14,12,0,65
King,Sexual Violations,12,10,22,9,0,53
King,Weapons Violations,0,12,9,11,1,33
King,Provincial Offences,10,5,9,4,0,28
King,Arson,4,1,7,6,0,18
King,Robbery,0,6,5,7,0,18
King,Firearms Violations,1,3,6,6,0,16
King,Cannabis Act,3,4,3,5,0,15
King,Break and Enter - Other,4,4,1,1,0,10
King,Public Morals,1,0,4,2,0,7
King,Attempt Murder,0,0,2,3,1,6
King,Homicide,0,0,1,0,0,1
Markham,Theft Under $5000,1534,2022,2181,1786,3,7526
Markham,Fraud,1284,1258,1467,1538,7,5554
Markham,Assaults,926,1096,1183,1121,11,4337
Markham,Other Persons Crime,712,861,918,798,12,3301
Markham,Theft of Motor Vehicle,473,610,1119,721,1,2924
Markham,Mischief,614,681,776,711,6,2788
Markham,Break and Enter - Residential,153,242,433,438,4,1270
Markham,Impaired Operation,303,329,329,281,0,1242
Markham,Missing Person,187,227,225,237,2,878
Markham,Other Property Crime,161,204,236,240,2,843
Markham,Drug Violations,289,171,136,131,0,727
Markham,Break and Enter - Commercial,121,209,162,161,0,653
Markham,Other Criminal Code,128,158,152,188,2,628
Markham,Theft Over $5000,116,125,157,150,2,550
Markham,Sexual Violations,80,114,111,104,5,414
Markham,Robbery,60,100,105,122,0,387
Markham,Weapons Violations,60,121,108,59,1,349
Markham,Cannabis Act,75,58,47,22,0,202
Markham,Firearms Violations,47,61,44,40,1,193
Markham,Provincial Offences,40,47,31,36,0,154
Markham,Public Morals,17,30,27,21,0,95
Markham,Arson,13,13,21,24,0,71
Markham,Break and Enter - Other,12,13,10,12,0,47
Markham,Attempt Murder,3,6,6,3,0,18
Markham,Homicide,3,5,5,4,0,17
Newmarket,Theft Under $5000,489,684,867,818,0,2858
Newmarket,Assaults,420,417,651,705,0,2193
Newmarket,Other Persons Crime,410,478,531,487,3,1909
Newmarket,Fraud,358,419,443,485,2,1707
Newmarket,Mischief,312,299,350,394,0,1355
Newmarket,Other Property Crime,105,118,141,199,0,563
Newmarket,Missing Person,76,96,118,119,0,409
Newmarket,Theft of Motor Vehicle,60,98,125,91,0,374
Newmarket,Impaired Operation,108,76,71,68,0,323
Newmarket,Drug Violations,121,85,60,55,0,321
Newmarket,Provincial Offences,74,42,63,75,1,255
Newmarket,Break and Enter - Commercial,24,29,89,109,0,251
Newmarket,Break and Enter - Residential,54,46,56,85,0,241
Newmarket,Other Criminal Code,33,50,79,67,0,229
Newmarket,Sexual Violations,42,52,66,65,4,229
Newmarket,Weapons Violations,28,55,61,37,1,182
Newmarket,Theft Over $5000,21,41,32,44,1,139
Newmarket,Robbery,9,32,46,25,0,112
Newmarket,Firearms Violations,7,11,11,12,0,41
Newmarket,Public Morals,14,9,8,7,0,38
Newmarket,Arson,10,5,13,8,0,36
Newmarket,Break and Enter - Other,4,9,12,5,0,30
Newmarket,Cannabis Act,7,4,6,3,0,20
Newmarket,Attempt Murder,1,0,3,0,0,4
Newmarket,Homicide,0,2,0,2,0,4
Richmond Hill,Theft Under $5000,1227,1590,1892,1587,2,6298
Richmond Hill,Fraud,826,873,1054,1162,7,3922
Richmond Hill,Assaults,656,817,956,998,7,3434
Richmond Hill,Other Persons Crime,665,768,812,769,6,3020
Richmond Hill,Mischief,516,528,603,584,2,2233
Richmond Hill,Theft of Motor Vehicle,320,387,665,467,0,1839
Richmond Hill,Break and Enter - Residential,140,172,296,289,2,899
Richmond Hill,Other Property Crime,139,172,168,254,1,734
Richmond Hill,Impaired Operation,142,159,133,143,0,577
Richmond Hill,Missing Person,109,111,158,157,1,536
Richmond Hill,Drug Violations,126,111,109,111,0,457
Richmond Hill,Break and Enter - Commercial,83,121,100,114,0,418
Richmond Hill,Other Criminal Code,70,88,123,125,0,406
Richmond Hill,Theft Over $5000,68,82,118,85,1,354
Richmond Hill,Sexual Violations,48,91,79,78,2,298
Richmond Hill,Weapons Violations,49,98,88,63,0,298
Richmond Hill,Robbery,34,72,93,64,0,263
Richmond Hill,Provincial Offences,41,36,45,30,0,152
Richmond Hill,Firearms Violations,23,41,22,27,0,113
Richmond Hill,Cannabis Act,39,29,21,18,0,107
Richmond Hill,Public Morals,18,16,16,15,1,66
Richmond Hill,Arson,7,9,25,19,0,60
Richmond Hill,Break and Enter - Other,8,4,3,5,0,20
Richmond Hill,Attempt Murder,2,6,2,4,0,14
Richmond Hill,Homicide,4,1,3,6,0,14
Vaughan,Theft Under $5000,2920,3363,3327,3159,13,12782
Vaughan,Fraud,1298,1484,1939,1877,12,6610
Vaughan,Assaults,1216,1439,1680,1705,8,6048
Vaughan,Theft of Motor Vehicle,916,1595,2053,1398,2,5964
Vaughan,Other Persons Crime,1066,1253,1517,1419,15,5270
Vaughan,Mischief,796,879,1028,1222,6,3931
Vaughan,Impaired Operation,521,549,482,377,1,1930
Vaughan,Other Property Crime,319,353,412,497,4,1585
Vaughan,Break and Enter - Residential,200,269,453,396,1,1319
Vaughan,Drug Violations,419,306,245,246,2,1218
Vaughan,Break and Enter - Commercial,221,279,356,332,3,1191
